Company Name,Country,Continent,CDP_ID,target_type,scope,target_no,scope2_method,scope3_cat,base_year,target_year,scope_coverage,planned_reduction,abs_int,source,CDP ref,Classic Carbon Credits,Intent_removal,comment,,,,,,,,,,,,
Equinor,Norway,Europe,23132,net-zero,3,1,,Category 11: Use of sold products,2020,2050,92,100,abs,CDP2023,Abs 6,yes,,"Carbon offsets and nature-based solutionsIn the long term, we see negative emissions solutions as making an important contribution to the climate challenge. Offsets and removals will however play a minimal role in achieving our operated emissions reductions. We have so far only purchased offsets related to our business travel. We plan to use only credits verified according to high standards and to disclose information about the type of offsets employed. To ensure quality in the credits we will use, we have established a set of corporate criteria and principles based on the Oxford Principles for Net Zero Aligned Carbon Offsetting.",,,,,,,,,,,,
Equinor,Norway,Europe,23132,long_term_target,3,1,,Category 9: Downstream transportation and distribution,2008,2050,1.5,50,abs,CDP2023,Abs 5,no,no,,,,,,,,,,,,,
Petrobras,Brazil,Latam,14654,intermediate,"1,2",1,market_based,,2015,2030,100,30,abs,CDP 2022,Abs 1,yes,,,,,,,,,,,,,,
Petrobras,Brazil,Latam,14654,net-zero,"1,2",2,market_based,,2015,2050,100,100,abs,CDP 2022,NZ1,yes,,,,,,,,,,,,,,
Eni,Italy,Europe,5634,intermediate,"1,2",1,location_based,,2018,2030,100,31.63,abs,CDP 2023,Abs 3,yes,," Approximately 5% of the total absolute reduction in Eni lifecycle emissions by 2050 will be linked to compensation through carbon credits, from Natural Climate Solutions and the application of technological solutions. In 2022 Eni's Gross GHG Lifecycle Emissions (Scope 1+2+3) were 422 MtCO2eq, -16% compared to 2018 (-17% including contribution of carbon offsets in 2022).",,,,,,,,,,,,
Eni,Italy,Europe,5634,intermediate,"1,2",2,location_based,,2018,2035,100,50.64,abs,CDP 2023,Abs 4,yes,," Approximately 5% of the total absolute reduction in Eni lifecycle emissions by 2050 will be linked to compensation through carbon credits, from Natural Climate Solutions and the application of technological solutions. In 2022 Eni's Gross GHG Lifecycle Emissions (Scope 1+2+3) were 422 MtCO2eq, -16% compared to 2018 (-17% including contribution of carbon offsets in 2022).",,,,,,,,,,,,
Eni,Italy,Europe,5634,intermediate,"1,2",3,location_based,,2018,2040,100,72.57,abs,CDP2023,Abs 5,yes,," Approximately 5% of the total absolute reduction in Eni lifecycle emissions by 2050 will be linked to compensation through carbon credits, from Natural Climate Solutions and the application of technological solutions. In 2022 Eni's Gross GHG Lifecycle Emissions (Scope 1+2+3) were 422 MtCO2eq, -16% compared to 2018 (-17% including contribution of carbon offsets in 2022).",,,,,,,,,,,,
Eni,Italy,Europe,5634,net-zero,"1,2",4,,,2018,2050,100,100,abs,CDP2023,NZ1,yes,yes,"Approximately 5% of the total absolute reduction in Eni lifecycle emissions Scope 1+2+3 by 2050 will be linked to compensation through carbon credits, from Natural Climate Solutions and the application of technological solutions, for around 25 million tonnes in 2050.Eni plans to offset its residual emissions by leveraging on the Natural Climate Solutions initiatives and the technological applications in different areas to progressively maximize the carbon removal. These initiatives are expected to achieve a carbon credits portfolio on yearly basis to offset around 15 million tonnes in 2030, around 20 million tonnes in 2014 and less than 25 million tons of CO2 in 2050.",,,,,,,,,,,,
Eni,Italy,Europe,5634,intermediate,3,1,,all,2018,2030,100,31.63,abs,CDP 2023,Abs 3,yes,," Approximately 5% of the total absolute reduction in Eni lifecycle emissions by 2050 will be linked to compensation through carbon credits, from Natural Climate Solutions and the application of technological solutions. In 2022 Eni's Gross GHG Lifecycle Emissions (Scope 1+2+3) were 422 MtCO2eq, -16% compared to 2018 (-17% including contribution of carbon offsets in 2022).",,,,,,,,,,,,
Eni,Italy,Europe,5634,intermediate,3,2,,all,2018,2035,100,50.64,abs,CDP 2023,Abs 4,yes,," Approximately 5% of the total absolute reduction in Eni lifecycle emissions by 2050 will be linked to compensation through carbon credits, from Natural Climate Solutions and the application of technological solutions. In 2022 Eni's Gross GHG Lifecycle Emissions (Scope 1+2+3) were 422 MtCO2eq, -16% compared to 2018 (-17% including contribution of carbon offsets in 2022).",,,,,,,,,,,,
Eni,Italy,Europe,5634,intermediate,3,3,,all,2018,2040,100,72.57,abs,CDP2023,Abs 5,yes,," Approximately 5% of the total absolute reduction in Eni lifecycle emissions by 2050 will be linked to compensation through carbon credits, from Natural Climate Solutions and the application of technological solutions. In 2022 Eni's Gross GHG Lifecycle Emissions (Scope 1+2+3) were 422 MtCO2eq, -16% compared to 2018 (-17% including contribution of carbon offsets in 2022).",,,,,,,,,,,,
Eni,Italy,Europe,5634,net-zero,3,4,,all,2018,2050,100,100,abs,CDP2023,NZ1,yes,yes,"Approximately 5% of the total absolute reduction in Eni lifecycle emissions Scope 1+2+3 by 2050 will be linked to compensation through carbon credits, from Natural Climate Solutions and the application of technological solutions, for around 25 million tonnes in 2050.Eni plans to offset its residual emissions by leveraging on the Natural Climate Solutions initiatives and the technological applications in different areas to progressively maximize the carbon removal. These initiatives are expected to achieve a carbon credits portfolio on yearly basis to offset around 15 million tonnes in 2030, around 20 million tonnes in 2014 and less than 25 million tons of CO2 in 2050.",,,,,,,,,,,,
ConocoPhillips,United States,North America,3751,intermediate,"1,2",1,location_based,,2016,2030,99,55,int,CDP 2023,Int 1,no,,,,,,,,,,,,,,
Marathon Petroleum,United States,North America,36606,intermediate,"1,2",1,location_based,,2014,2030,98.3,30,int,CDP 2023,Int 1,no,,,,,,,,,,,,,,
Marathon Petroleum,United States,North America,36606,intermediate,3,1,,Category 11: Use of sold products,2019,2030,77.96925218,15,abs,CDP 2023,Abs 1,no,,,,,,,,,,,,,,
Valero Energy,United States,North America,20048,intermediate,"1,2",1,Market-based,,2011,2025,92,63,abs,CDP 2023 + cy2022 assurance report for share,Abs 2,no,,,,,,,,,,,,,,
Valero Energy,United States,North America,20048,net-zero,"1,2",2,Market-based,,2011,2036,92,100,abs,CDP 2023 + cy2022 assurance report for share,Abs 1,no,,,,,,,,,,,,,,
Occidental Petroleum,United States,North America,13649,intermediate,"1,2",1,Location-based,,2021,2024,100,16,abs,CDP 2023,Abs 4,no,,,,,,,,,,,,,,
Occidental Petroleum,United States,North America,13649,net-zero,"1,2",2,Location-based,,2019,2040,100,100,abs,CDP 2023,Abs 2,no,yes,,,,,,,,,,,,,
Occidental Petroleum,United States,North America,13649,net-zero,3,1,,Category 10: Processing of sold products; Category 11: Use of sold products; Category 9: Downstream transportation and distribution,2019,2050,0.836808794,100,abs,CDP 2023,Abs 1,no,yes,") Reuse and recycle CO2 with technologies and partnerships that use captured CO2 to enhance existing products and produce new low-carbon or zero-emissions products; and (4) Remove existing CO2 from the atmosphere for beneficial use and safe, secure sequestration. 2022 EXAMPLES:•Completed FEED and started site construction activities for Stratos, the world's first commercial scale Direct Air Capture facility in the Permian Basin• Entered into agreements to provide carbon dioxide removal credits from Stratos and to offer future opportunities to supply net-zero oil as markets emerge• Secured worldwide agreement with Carbon Engineering for deployment and execution of DAC and Air To Fuels™ solutions• Started pre-FEED activities for a second DAC plant and for Air To Fuels™ technology for a low carbon intensity alternative aviation fuel• Inflation Reduction Act enhanced value of 45Q tax credits and enables a development planning scenario of up to 100 DAC plants, with up to 135 plants possible by 2035 under a global net-zero policy support scenario• Entered into agreements for interests in more than 400 square miles of land and pore space access, primarily in Louisiana and Texas, with a capacity to sequester up to 6 billion metric tons of CO2 and filed permit applications for multiple Class VI sequestration wells",,,,,,,,,,,,
Enbridge,Canada,North America,5581,intermediate,"1,2",1,location_based,,2018,2030,100,35,int,CDP 2023,Int 1,yes,,,,,,,,,,,,,,
Enbridge,Canada,North America,5581,net-zero,"1,2",2,location_based,,2018,2050,100,100,int,CDP 2023,Nz1,yes,yes,"We plan to balance any residual emissions through procurement of carbon offset credits generated by nature-based solutions and renewable energy credits, with a primary focus on areas proximate to our operations. Today, offsets comprise approximately 25% of our net zero roadmap. Yet, as we prioritize efforts to reduce emissions along other pathways, we expect that the percentage of offsets required to achieve net zero will decrease over time.",,,,,,,,,,,,
Suncor Energy,Canada,North America,17929,net-zero,"1,2",1,Market-based,,2019,2050,100,100,abs,CDP 2023,Abs 1,no,yes,neither sign of offsetting in report nor CDP,,,,,,,,,,,,
Canadian Natural Resources,Canada,North America,2667,intermediate,"1,2",1,location_based,,2020,2035,100,40,abs,CDP 2023,Abs 1,no,,,,,,,,,,,,,,
PTT,Thailand,Asia,15297,intermediate,"1,2",1,Market-based,,2020,2030,100,15,abs ,CDP 2023,Abs 1,yes,,"Two information in CDP - netzero 2060 and 2050: Website says 2050
PTT Group plan to achieve the target by reducing GHG emissions from activities as follow:- Renewable energy and energy efficiency projects implementation- Portfolio transformation- Removal by CCUS projects & reforestation",,,,,,,,,,,,
PTT,Thailand,Asia,15297,net-zero,"1,2",2,Market-based,,2020,2050,100,100,abs ,CDP 2023 and https://www.pttplc.com/en/Sustainability/Environment/Climatechangemanagement.aspx,NZ1,yes,yes,PTT Group plan to achieve the target by reducing GHG emissions from activities as follow:- Renewable energy and energy efficiency projects implementation- Portfolio transformation- Removal by CCUS projects & reforestation,,,,,,,,,,,,
EOG Resources,United States,North America,5767,net-zero,"1,2",1,Market-based,,2020,2040,100,100,abs,2022 Sustainability Report,,yes,yes,,,,,,,,,,,,,
Schlumberger,United States,North America,16418,intermediate,"1,2",1,Market-based,,2019,2025,100,30,abs,CDP 2023,Abs 1,no,,,,,,,,,,,,,,
Schlumberger,United States,North America,16418,intermediate,"1,2",2,Market-based,,2019,2030,100,50,abs,CDP 2023,Abs 2,no,,,,,,,,,,,,,,
Schlumberger,United States,North America,16418,net-zero,"1,2",3,Market-based,,2019,2050,100,100,abs,CDP 2023,Abs 2,no,yes,No information on classic credits,,,,,,,,,,,,
Schlumberger,United States,North America,16418,intermediate,3,1,,,2019,2050,100,30,abs,CDP 2023,Abs 3,no,,,,,,,,,,,,,,
Schlumberger,United States,North America,16418,net-zero,3,2,,,2019,2050,100,100,abs,CDP 2023,Abs 2,no,yes,No information on classic credits,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
