,Account number,Organization,Row,RowName,evaluation_status,scope3_emissions
4053,1932,BMW AG,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
4054,1932,BMW AG,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
4055,1932,BMW AG,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
4056,1932,BMW AG,11,Use of sold products,"Relevant, calculated",92947849
4057,1932,BMW AG,12,End of life treatment of sold products,"Relevant, calculated",1394603
4058,1932,BMW AG,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
4059,1932,BMW AG,14,Franchises,"Not relevant, explanation provided",Question not applicable
4060,1932,BMW AG,15,Investments,"Not relevant, explanation provided",Question not applicable
4061,1932,BMW AG,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
4062,1932,BMW AG,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
4199,2083,BP,1,Purchased goods and services,,Question not applicable
4200,2083,BP,2,Capital goods,,Question not applicable
4201,2083,BP,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),,Question not applicable
4202,2083,BP,4,Upstream transportation and distribution,,Question not applicable
4203,2083,BP,5,Waste generated in operations,,Question not applicable
4204,2083,BP,6,Business travel,,Question not applicable
4205,2083,BP,7,Employee commuting,,Question not applicable
4206,2083,BP,8,Upstream leased assets,,Question not applicable
4207,2083,BP,9,Downstream transportation and distribution,,Question not applicable
4208,2083,BP,10,Processing of sold products,,Question not applicable
4209,2083,BP,11,Use of sold products,"Relevant, calculated",306700000
4210,2083,BP,12,End of life treatment of sold products,,Question not applicable
4211,2083,BP,13,Downstream leased assets,,Question not applicable
4212,2083,BP,14,Franchises,,Question not applicable
4213,2083,BP,15,Investments,,Question not applicable
4214,2083,BP,16,Other (upstream),,Question not applicable
4215,2083,BP,17,Other (downstream),,Question not applicable
4862,2667,Canadian Natural Resources Limited,1,Purchased goods and services,Not evaluated,Question not applicable
4863,2667,Canadian Natural Resources Limited,2,Capital goods,Not evaluated,Question not applicable
4864,2667,Canadian Natural Resources Limited,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),Not evaluated,Question not applicable
4865,2667,Canadian Natural Resources Limited,4,Upstream transportation and distribution,Not evaluated,Question not applicable
4866,2667,Canadian Natural Resources Limited,5,Waste generated in operations,Not evaluated,Question not applicable
4867,2667,Canadian Natural Resources Limited,6,Business travel,Not evaluated,Question not applicable
4868,2667,Canadian Natural Resources Limited,7,Employee commuting,Not evaluated,Question not applicable
4869,2667,Canadian Natural Resources Limited,8,Upstream leased assets,Not evaluated,Question not applicable
4870,2667,Canadian Natural Resources Limited,9,Downstream transportation and distribution,Not evaluated,Question not applicable
4871,2667,Canadian Natural Resources Limited,10,Processing of sold products,Not evaluated,Question not applicable
4872,2667,Canadian Natural Resources Limited,11,Use of sold products,"Relevant, calculated",124113645
4873,2667,Canadian Natural Resources Limited,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
4874,2667,Canadian Natural Resources Limited,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
4875,2667,Canadian Natural Resources Limited,14,Franchises,"Not relevant, explanation provided",Question not applicable
4876,2667,Canadian Natural Resources Limited,15,Investments,Not evaluated,Question not applicable
4877,2667,Canadian Natural Resources Limited,16,Other (upstream),Not evaluated,Question not applicable
4878,2667,Canadian Natural Resources Limited,17,Other (downstream),Not evaluated,Question not applicable
5287,2926,Cathay Pacific Airways Limited,1,Purchased goods and services,"Relevant, calculated",330000
5288,2926,Cathay Pacific Airways Limited,2,Capital goods,"Relevant, calculated",297000
5289,2926,Cathay Pacific Airways Limited,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",1133000
5290,2926,Cathay Pacific Airways Limited,4,Upstream transportation and distribution,"Relevant, calculated",171000
5291,2926,Cathay Pacific Airways Limited,5,Waste generated in operations,"Relevant, calculated",4000
5292,2926,Cathay Pacific Airways Limited,6,Business travel,"Relevant, calculated",8000
5293,2926,Cathay Pacific Airways Limited,7,Employee commuting,"Relevant, calculated",6000
5294,2926,Cathay Pacific Airways Limited,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
5295,2926,Cathay Pacific Airways Limited,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
5296,2926,Cathay Pacific Airways Limited,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
5297,2926,Cathay Pacific Airways Limited,11,Use of sold products,"Not relevant, explanation provided",Question not applicable
5298,2926,Cathay Pacific Airways Limited,12,End of life treatment of sold products,"Relevant, calculated",3
5299,2926,Cathay Pacific Airways Limited,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
5300,2926,Cathay Pacific Airways Limited,14,Franchises,"Not relevant, explanation provided",Question not applicable
5301,2926,Cathay Pacific Airways Limited,15,Investments,"Relevant, calculated",3256000
5302,2926,Cathay Pacific Airways Limited,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
5303,2926,Cathay Pacific Airways Limited,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
6681,3751,ConocoPhillips,1,Purchased goods and services,"Relevant, not yet calculated",Question not applicable
6682,3751,ConocoPhillips,2,Capital goods,"Relevant, not yet calculated",Question not applicable
6683,3751,ConocoPhillips,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Not relevant, explanation provided",Question not applicable
6684,3751,ConocoPhillips,4,Upstream transportation and distribution,"Relevant, calculated",5000000
6685,3751,ConocoPhillips,5,Waste generated in operations,"Not relevant, explanation provided",Question not applicable
6686,3751,ConocoPhillips,6,Business travel,"Not relevant, explanation provided",Question not applicable
6687,3751,ConocoPhillips,7,Employee commuting,"Not relevant, explanation provided",Question not applicable
6688,3751,ConocoPhillips,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
6689,3751,ConocoPhillips,9,Downstream transportation and distribution,"Relevant, calculated",8000000
6690,3751,ConocoPhillips,10,Processing of sold products,"Relevant, calculated",14000000
6691,3751,ConocoPhillips,11,Use of sold products,"Relevant, calculated",208000000
6692,3751,ConocoPhillips,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
6693,3751,ConocoPhillips,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
6694,3751,ConocoPhillips,14,Franchises,"Not relevant, explanation provided",Question not applicable
6695,3751,ConocoPhillips,15,Investments,"Not relevant, explanation provided",Question not applicable
6696,3751,ConocoPhillips,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
6697,3751,ConocoPhillips,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
6834,3889,"Cosmo Energy Holdings Co., Ltd.",1,Purchased goods and services,"Relevant, calculated",1149677
6835,3889,"Cosmo Energy Holdings Co., Ltd.",2,Capital goods,"Not relevant, explanation provided",Question not applicable
6836,3889,"Cosmo Energy Holdings Co., Ltd.",3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Not relevant, explanation provided",Question not applicable
6837,3889,"Cosmo Energy Holdings Co., Ltd.",4,Upstream transportation and distribution,"Relevant, calculated",652832
6838,3889,"Cosmo Energy Holdings Co., Ltd.",5,Waste generated in operations,"Not relevant, explanation provided",Question not applicable
6839,3889,"Cosmo Energy Holdings Co., Ltd.",6,Business travel,"Not relevant, explanation provided",Question not applicable
6840,3889,"Cosmo Energy Holdings Co., Ltd.",7,Employee commuting,"Not relevant, explanation provided",Question not applicable
6841,3889,"Cosmo Energy Holdings Co., Ltd.",8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
6842,3889,"Cosmo Energy Holdings Co., Ltd.",9,Downstream transportation and distribution,"Relevant, calculated",187020
6843,3889,"Cosmo Energy Holdings Co., Ltd.",10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
6844,3889,"Cosmo Energy Holdings Co., Ltd.",11,Use of sold products,"Relevant, calculated",50962663
6845,3889,"Cosmo Energy Holdings Co., Ltd.",12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
6846,3889,"Cosmo Energy Holdings Co., Ltd.",13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
6847,3889,"Cosmo Energy Holdings Co., Ltd.",14,Franchises,"Not relevant, explanation provided",Question not applicable
6848,3889,"Cosmo Energy Holdings Co., Ltd.",15,Investments,"Not relevant, explanation provided",Question not applicable
6849,3889,"Cosmo Energy Holdings Co., Ltd.",16,Other (upstream),"Not relevant, explanation provided",Question not applicable
6850,3889,"Cosmo Energy Holdings Co., Ltd.",17,Other (downstream),"Not relevant, explanation provided",Question not applicable
7786,4408,Delta Air Lines,1,Purchased goods and services,"Relevant, calculated",1514455
7787,4408,Delta Air Lines,2,Capital goods,"Relevant, calculated",1395376
7788,4408,Delta Air Lines,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",8453650
7789,4408,Delta Air Lines,4,Upstream transportation and distribution,"Relevant, calculated",938765
7790,4408,Delta Air Lines,5,Waste generated in operations,"Relevant, not yet calculated",Question not applicable
7791,4408,Delta Air Lines,6,Business travel,"Relevant, not yet calculated",Question not applicable
7792,4408,Delta Air Lines,7,Employee commuting,"Relevant, not yet calculated",Question not applicable
7793,4408,Delta Air Lines,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
7794,4408,Delta Air Lines,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
7795,4408,Delta Air Lines,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
7796,4408,Delta Air Lines,11,Use of sold products,"Not relevant, explanation provided",Question not applicable
7797,4408,Delta Air Lines,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
7798,4408,Delta Air Lines,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
7799,4408,Delta Air Lines,14,Franchises,"Not relevant, explanation provided",Question not applicable
7800,4408,Delta Air Lines,15,Investments,"Relevant, not yet calculated",Question not applicable
7801,4408,Delta Air Lines,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
7802,4408,Delta Air Lines,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
7990,4657,Deutsche Lufthansa AG,1,Purchased goods and services,"Relevant, calculated",9196
7991,4657,Deutsche Lufthansa AG,2,Capital goods,"Relevant, calculated",240467
7992,4657,Deutsche Lufthansa AG,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",5192640
7993,4657,Deutsche Lufthansa AG,4,Upstream transportation and distribution,"Relevant, calculated",1074818
7994,4657,Deutsche Lufthansa AG,5,Waste generated in operations,"Relevant, calculated",40499
7995,4657,Deutsche Lufthansa AG,6,Business travel,"Relevant, calculated",40902
7996,4657,Deutsche Lufthansa AG,7,Employee commuting,"Relevant, calculated",42847
7997,4657,Deutsche Lufthansa AG,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
7998,4657,Deutsche Lufthansa AG,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
7999,4657,Deutsche Lufthansa AG,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
8000,4657,Deutsche Lufthansa AG,11,Use of sold products,"Not relevant, explanation provided",Question not applicable
8001,4657,Deutsche Lufthansa AG,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
8002,4657,Deutsche Lufthansa AG,13,Downstream leased assets,"Relevant, calculated",526538
8003,4657,Deutsche Lufthansa AG,14,Franchises,"Not relevant, explanation provided",Question not applicable
8004,4657,Deutsche Lufthansa AG,15,Investments,"Relevant, calculated",1787198
8005,4657,Deutsche Lufthansa AG,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
8006,4657,Deutsche Lufthansa AG,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
8041,4678,Devon Energy Corporation,1,Purchased goods and services,"Not relevant, explanation provided",Question not applicable
8042,4678,Devon Energy Corporation,2,Capital goods,"Not relevant, explanation provided",Question not applicable
8043,4678,Devon Energy Corporation,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Not relevant, explanation provided",Question not applicable
8044,4678,Devon Energy Corporation,4,Upstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
8045,4678,Devon Energy Corporation,5,Waste generated in operations,"Not relevant, explanation provided",Question not applicable
8046,4678,Devon Energy Corporation,6,Business travel,"Not relevant, explanation provided",Question not applicable
8047,4678,Devon Energy Corporation,7,Employee commuting,"Not relevant, explanation provided",Question not applicable
8048,4678,Devon Energy Corporation,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
8049,4678,Devon Energy Corporation,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
8050,4678,Devon Energy Corporation,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
8051,4678,Devon Energy Corporation,11,Use of sold products,"Relevant, calculated",90000000
8052,4678,Devon Energy Corporation,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
8053,4678,Devon Energy Corporation,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
8054,4678,Devon Energy Corporation,14,Franchises,"Not relevant, explanation provided",Question not applicable
8055,4678,Devon Energy Corporation,15,Investments,"Not relevant, explanation provided",Question not applicable
8056,4678,Devon Energy Corporation,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
8057,4678,Devon Energy Corporation,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
8415,5021,DTE Energy Company,1,Purchased goods and services,"Relevant, calculated",297000
8416,5021,DTE Energy Company,2,Capital goods,"Relevant, not yet calculated",Question not applicable
8417,5021,DTE Energy Company,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",3699000
8418,5021,DTE Energy Company,4,Upstream transportation and distribution,"Relevant, calculated",233000
8419,5021,DTE Energy Company,5,Waste generated in operations,"Relevant, not yet calculated",Question not applicable
8420,5021,DTE Energy Company,6,Business travel,"Relevant, not yet calculated",Question not applicable
8421,5021,DTE Energy Company,7,Employee commuting,"Relevant, not yet calculated",Question not applicable
8422,5021,DTE Energy Company,8,Upstream leased assets,"Relevant, not yet calculated",Question not applicable
8423,5021,DTE Energy Company,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
8424,5021,DTE Energy Company,10,Processing of sold products,"Relevant, not yet calculated",Question not applicable
8425,5021,DTE Energy Company,11,Use of sold products,"Relevant, calculated",8869000
8426,5021,DTE Energy Company,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
8427,5021,DTE Energy Company,13,Downstream leased assets,,Question not applicable
8428,5021,DTE Energy Company,14,Franchises,,Question not applicable
8429,5021,DTE Energy Company,15,Investments,,Question not applicable
8430,5021,DTE Energy Company,16,Other (upstream),,Question not applicable
8431,5021,DTE Energy Company,17,Other (downstream),,Question not applicable
8619,5170,easyJet,1,Purchased goods and services,"Relevant, calculated",282236
8620,5170,easyJet,2,Capital goods,"Relevant, calculated",47559
8621,5170,easyJet,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",1319842
8622,5170,easyJet,4,Upstream transportation and distribution,"Relevant, calculated",217
8623,5170,easyJet,5,Waste generated in operations,"Relevant, calculated",40
8624,5170,easyJet,6,Business travel,"Relevant, calculated",742
8625,5170,easyJet,7,Employee commuting,"Relevant, calculated",5682
8626,5170,easyJet,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
8627,5170,easyJet,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
8628,5170,easyJet,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
8629,5170,easyJet,11,Use of sold products,"Relevant, calculated",1252
8630,5170,easyJet,12,End of life treatment of sold products,"Relevant, calculated",75
8631,5170,easyJet,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
8632,5170,easyJet,14,Franchises,"Not relevant, explanation provided",Question not applicable
8633,5170,easyJet,15,Investments,"Relevant, calculated",2867
8634,5170,easyJet,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
8635,5170,easyJet,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
9129,5581,Enbridge Inc.,1,Purchased goods and services,"Relevant, not yet calculated",Question not applicable
9130,5581,Enbridge Inc.,2,Capital goods,"Relevant, not yet calculated",Question not applicable
9131,5581,Enbridge Inc.,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",297000
9132,5581,Enbridge Inc.,4,Upstream transportation and distribution,"Relevant, not yet calculated",Question not applicable
9133,5581,Enbridge Inc.,5,Waste generated in operations,"Not relevant, explanation provided",Question not applicable
9134,5581,Enbridge Inc.,6,Business travel,"Relevant, calculated",3600
9135,5581,Enbridge Inc.,7,Employee commuting,"Not relevant, explanation provided",Question not applicable
9136,5581,Enbridge Inc.,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
9137,5581,Enbridge Inc.,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
9138,5581,Enbridge Inc.,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
9139,5581,Enbridge Inc.,11,Use of sold products,"Relevant, calculated",53800000
9140,5581,Enbridge Inc.,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
9141,5581,Enbridge Inc.,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
9142,5581,Enbridge Inc.,14,Franchises,"Not relevant, explanation provided",Question not applicable
9143,5581,Enbridge Inc.,15,Investments,"Relevant, not yet calculated",Question not applicable
9144,5581,Enbridge Inc.,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
9145,5581,Enbridge Inc.,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
9214,5634,Eni SpA,1,Purchased goods and services,"Relevant, calculated",842494
9215,5634,Eni SpA,2,Capital goods,"Relevant, calculated",691832
9216,5634,Eni SpA,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",1724373
9217,5634,Eni SpA,4,Upstream transportation and distribution,"Relevant, calculated",1295250
9218,5634,Eni SpA,5,Waste generated in operations,"Not relevant, calculated",143100
9219,5634,Eni SpA,6,Business travel,"Not relevant, calculated",30029
9220,5634,Eni SpA,7,Employee commuting,"Not relevant, calculated",100892
9221,5634,Eni SpA,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
9222,5634,Eni SpA,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
9223,5634,Eni SpA,10,Processing of sold products,"Relevant, calculated",9910832
9224,5634,Eni SpA,11,Use of sold products,"Relevant, calculated",164316808
9225,5634,Eni SpA,12,End of life treatment of sold products,"Relevant, calculated",82446
9226,5634,Eni SpA,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
9227,5634,Eni SpA,14,Franchises,"Not relevant, calculated",144628
9228,5634,Eni SpA,15,Investments,"Not relevant, explanation provided",Question not applicable
9229,5634,Eni SpA,16,Other (upstream),,Question not applicable
9230,5634,Eni SpA,17,Other (downstream),,Question not applicable
9248,5767,"EOG Resources, Inc.",1,Purchased goods and services,,Question not applicable
9249,5767,"EOG Resources, Inc.",2,Capital goods,,Question not applicable
9250,5767,"EOG Resources, Inc.",3,Fuel-and-energy-related activities (not included in Scope 1 or 2),,Question not applicable
9251,5767,"EOG Resources, Inc.",4,Upstream transportation and distribution,,Question not applicable
9252,5767,"EOG Resources, Inc.",5,Waste generated in operations,,Question not applicable
9253,5767,"EOG Resources, Inc.",6,Business travel,,Question not applicable
9254,5767,"EOG Resources, Inc.",7,Employee commuting,,Question not applicable
9255,5767,"EOG Resources, Inc.",8,Upstream leased assets,,Question not applicable
9256,5767,"EOG Resources, Inc.",9,Downstream transportation and distribution,,Question not applicable
9257,5767,"EOG Resources, Inc.",10,Processing of sold products,,Question not applicable
9258,5767,"EOG Resources, Inc.",11,Use of sold products,"Relevant, calculated",110290526
9259,5767,"EOG Resources, Inc.",12,End of life treatment of sold products,,Question not applicable
9260,5767,"EOG Resources, Inc.",13,Downstream leased assets,,Question not applicable
9261,5767,"EOG Resources, Inc.",14,Franchises,,Question not applicable
