,Account number,Organization,Row,RowName,start_date,end_date,past_years,number_past_years_scope1,number_past_years_scope2,number_past_years_scope3
1282,14802,Pioneer Natural Resources,1,Reporting year,01.01.2022,31.12.2022,Yes,3 years,3 years,1 year
1317,15297,PTT,1,Reporting year,01.01.2022,31.12.2022,Yes,5 years,5 years,Not providing past emissions data for Scope 3
1351,15634,Renault Group,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
1358,15669,Repsol,1,Reporting year,01.01.2022,31.12.2022,Yes,,,3 years
1388,16012,Shell PLC,1,Reporting year,01.01.2022,31.12.2022,,Question not applicable,Question not applicable,Question not applicable
1435,16418,Schlumberger Limited,1,Reporting year,01.01.2022,31.12.2022,Yes,3 years,3 years,3 years
1531,17420,Southwest Airlines Co.,1,Reporting year,01.01.2022,31.12.2022,Yes,4 years,Not providing past emissions data for Scope 2,3 years
1573,17929,Suncor Energy Inc.,1,Reporting year,01.01.2022,31.12.2022,Yes,4 years,4 years,2 years
1578,18074,Suzuki Motor Corporation,1,Reporting year,01.04.2021,31.03.2022,No,Question not applicable,Question not applicable,Question not applicable
1600,18285,Tata Motors,1,Reporting year,01.04.2022,31.03.2023,Yes,2 years,2 years,Not providing past emissions data for Scope 3
1687,19257,TotalEnergies,1,Reporting year,01.01.2022,31.12.2022,Yes,2 years,2 years,2 years
1695,19290,Toyota Motor Corporation,1,Reporting year,01.04.2022,31.03.2023,No,Question not applicable,Question not applicable,Question not applicable
1696,19304,TC Energy,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
1714,19569,United Airlines Holdings,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
1744,20048,Valero Energy Corporation,1,Reporting year,01.01.2022,31.12.2022,Yes,4 years,4 years,1 year
1764,20309,Volkswagen AG,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
1798,20705,"The Williams Companies, Inc.",1,Reporting year,01.01.2022,31.12.2022,Yes,4 years,Not providing past emissions data for Scope 2,Not providing past emissions data for Scope 3
1832,20949,YPF SA,1,Reporting year,01.01.2022,31.12.2022,Yes,4 years,4 years,2 years
1849,21135,KOÇ HOLDİNG A.Ş.,1,Reporting year,01.01.2022,31.12.2022,Yes,1 year,1 year,Not providing past emissions data for Scope 3
1855,21148,TÜRK HAVA YOLLARI A.O.,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
1938,21845,San Miguel Corp,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
1985,22213,Ryanair Holding PLC,1,Reporting year,01.04.2022,31.03.2023,No,Question not applicable,Question not applicable,Question not applicable
2020,22341,Ecopetrol S.A.,1,Reporting year,01.01.2022,31.12.2022,Yes,3 years,3 years,3 years
2039,22460,Hawaiian Holding,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
2132,23132,Equinor,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
2137,23144,Norwegian Air Shuttle ASA,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
2244,29901,"ENEOS Holdings, Inc.",1,Reporting year,01.04.2021,31.03.2022,Yes,3 years,3 years,3 years
2337,31588,"Copa Holdings, S.A.",1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
2590,36606,Marathon Petroleum,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
2600,36707,"International Consolidated Airlines Group, S.A.",1,Reporting year,01.01.2022,31.12.2022,Yes,1 year,1 year,1 year
2624,36979,SK Innovation Co Ltd,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
2917,44253,Grupo Aeromexico SAB de CV,1,Reporting year,01.01.2022,31.12.2022,Yes,2 years,2 years,2 years
3190,49618,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,1,Reporting year,01.01.2022,31.12.2022,Yes,Not providing past emissions data for Scope 1,3 years,Not providing past emissions data for Scope 3
3226,50174,Avianca Group,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
3820,58656,NFI Group Inc.,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
3827,58720,Wizz Air Holdings,1,Reporting year,01.04.2022,31.03.2023,Yes,1 year,1 year,1 year
3878,59325,Ferrari,1,Reporting year,01.01.2022,31.12.2022,Yes,3 years,3 years,3 years
3883,59365,Chorus Aviation,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
4355,73994,Azul Sa,1,Reporting year,01.01.2022,31.12.2022,No,Question not applicable,Question not applicable,Question not applicable
5249,839615,KazMunayGas National Company JCS,1,Reporting year,01.01.2022,31.12.2022,Yes,3 years,3 years,3 years
5321,840836,Volvo Car Group,1,Reporting year,01.01.2022,31.12.2022,Yes,3 years,3 years,3 years
5930,849766,Petroliam Nasional Berhad (PETRONAS),1,Reporting year,01.01.2022,31.12.2022,Yes,5 years,5 years,4 years
7377,866803,Mercedes-Benz Group AG,1,Reporting year,01.01.2022,31.12.2022,Yes,1 year,1 year,1 year
