Account number,Organization,Row,RowName,project_type,mitigatin_activity,project_description,credit_retired,purpose_retiring,purchased_issued,standard
2083,BP,1,,Clean cookstove distribution,Emissions reduction,Guatemala Cookstoves,206675.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
2083,BP,2,,Solar,Emissions reduction,India Solar,2316.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
2083,BP,3,,Wind,Emissions reduction,El Arryan Wind Farm,1134280.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
2083,BP,4,,Wind,Emissions reduction,San pedro Wind Farm,389716.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
2083,BP,5,,Landfill gas,Emissions reduction,CTL Landfill Gas,141633.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
2083,BP,6,,Landfill gas,Emissions reduction,Monterrey II LFG to Energy Project,6745.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
2083,BP,7,,Hydro,Emissions reduction,Lower Stung Russei Chrum Hydro-Electric Project,3761.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
2083,BP,8,,Hydro,Emissions reduction,Dapein (1) Hydropower Project in Union of Myanmar,368.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
2083,BP,9,,Hydro,Emissions reduction,Sichuan Fengyanbao 44MW Hydropower Project,3241.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
2083,BP,10,,Wind,Emissions reduction,Huaneng Tongliao Kezuozhongqi Haorigetu Wind Farm Project,9793.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
2083,BP,11,,Landfill gas,Emissions reduction,Bandeirantes Landfill Gas to Energy Project (BLFGE),374279.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
2667,Canadian Natural Resources Limited,1,,"Other, please specify: Carbon capture and storage",Emissions reduction,Quest is a carbon capture and storage project in Alberta Canada integrated with the Scotford Upgrader. Hydrogen manufacturing at Scotford produces a high concentration CO2 stream. This CO2 is captured and compressed to a near critical state before being injected downhole into a saline aquifer several kilometers below the surface. This project generates offset GHG credits.,431388.00,Compliance with a carbon pricing system,Issued,Alberta TIER Emission Offset system
2667,Canadian Natural Resources Limited,2,,"Other, please specify: Carbon capture and storage",Emissions reduction,Quest is a carbon capture and storage project in Alberta Canada integrated with the Scotford Upgrader. Hydrogen manufacturing at Scotford produces a high concentration CO2 stream. This CO2 is captured and compressed to a near critical state before being injected downhole into a saline aquifer several kilometers below the surface. This project generates offset GHG credits.,184880.00,Compliance with a carbon pricing system,Purchased,Alberta TIER Emission Offset system
2926,Cathay Pacific Airways Limited,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
3751,ConocoPhillips,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
3889,"Cosmo Energy Holdings Co., Ltd.",0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
4408,Delta Air Lines,1,,Afforestation,Carbon removal,Afforestation projects in Uganda and Columbia,330047.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
4408,Delta Air Lines,2,,"Other, please specify: Carbon capture and storage (CCS)",Carbon removal,Carbon capture and storage projects in the United States,1900705.00,Voluntary offsetting,Purchased,ACR (American Carbon Registry)
4408,Delta Air Lines,3,,"Other, please specify: Energy Recovery",Emissions reduction,Energy recovery project in South Korea,473603.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
4408,Delta Air Lines,4,,"Other, please specify: Forestry",Emissions reduction,"REDD+ and LULUCF projects in Guatemala, Peru, and Colombia",5554099.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
4408,Delta Air Lines,5,,Solar,Emissions reduction,Solar projects in India and Burkina Faso,319199.00,Voluntary offsetting,,CDM (Clean Development Mechanism)
4408,Delta Air Lines,6,,Wind,Emissions reduction,"Wind projects in India, Brazil, Honduras, Mexico, Bulgaria, and Pakistan",3810610.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
4408,Delta Air Lines,7,,Energy efficiency: own generation,Emissions reduction,Cogeneration projects in South Korea,995333.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
4408,Delta Air Lines,8,,Energy efficiency: own generation,Emissions reduction,Combined cycle projects in Peru and Cote d’Ivoire,704731.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
4408,Delta Air Lines,9,,Geothermal,,Geothermal projects in El Salvador and Nicaragua,275000.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
4408,Delta Air Lines,10,,Landfill gas,Emissions reduction,"LFG projects in Brazil, Chile, Mexico, and Ecuador",1556825.00,Voluntary offsetting,Purchased,Gold Standard
4408,Delta Air Lines,11,,N2O,Emissions reduction,N2O projects in Chile and Egypt,1579077.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
4408,Delta Air Lines,12,,"Other, please specify: Natural gas",Emissions reduction,Natural gas projects in India and Bangladesh,1733667.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
4657,Deutsche Lufthansa AG,1,,Solar,Emissions reduction,"In order to reduce CO₂ and counter the rapid deforestation on Madagascar, the project supports the manufacture and distribution of efficient cookers and climate-friendly solar cookers. The sensibilisation of pupils about environmental protection and climate friendly cooking as well as the reforestation of two seedlings per cook stove sold are part of that project.",6007.00,Voluntary offsetting,Purchased,Gold Standard
4678,Devon Energy Corporation,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
5021,DTE Energy Company,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
5170,easyJet,1,,Community projects,Carbon removal,The BMERP will work to improve government and community partnerships on one hand and facilitate the development of community based local institution on the other to result in an improve forest ecosystem and landscape management in the Bale eco-region (BER),1702234.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5170,easyJet,2,,Wind,Carbon removal,"This project consists of an installation of 16 wind turbines, each having a capacity of 3000 kW, in Belen, on the Southeast Mediterranean coast of Turkey. The wind farm provides a total capacity of 48MW and is connected to the national grid. The project employs state of the art technology and installed high capacity 3MW turbines instead of 1.5MW turbines that used to be installed in the earlier days of wind energy developments in Turkey. These new turbines enable better use of the wind potential with a reduced project footprint area, minimising the impact on the natural environment.",87396.00,Voluntary offsetting,Purchased,Gold Standard
5170,easyJet,3,,Community projects,Carbon removal,The Breathing Space Improved Cooking Stoves (ICS) Programme is a voluntary Programme of Activities that disseminates energy efficient cook-stoves to households in India. India's domestic sector is one of its largest primary energy consumers with 75% of energy requirements met by fuel-wood and agricultural waste.,146200.00,Voluntary offsetting,Purchased,Gold Standard
5170,easyJet,4,,Community projects,Carbon removal,"This program seeks to improve public health in the Republic of Rwanda. The program will distribute high efficiency cook stoves and/or point of use water filters to end-users, addressing several critical public health challenges. Currently, many families in Rwanda cook their meals and some boil their drinking water over unimproved stoves utilizing biomass, or often drink untreated water because of a lack of available fuel.",150000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5170,easyJet,5,,Wind,Carbon removal,"The objective is development, design, engineering, procurement, finance, construction, operation and maintenance of Enercon Wind Farm (Hindustan) Ltd. (EWHPL) 68.8 MW wind power project (“Project”) in the Indian state of Karnataka to provide reliable, renewable power to the Karnataka state electricity grid which is part of the Southern regional electricity grid. The Project will lead to reduced greenhouse gas emissions because it displaces electricity from fossil fuel based electricity generation plants.",104942.00,Voluntary offsetting,Purchased,Gold Standard
5170,easyJet,6,,Solar,Carbon removal,"The grouped project activity is a step towards supporting the implementation and installation of grid connected renewable energy power plants in India. The project  ensures energy security, diversification of the grid generation mix and sustainable growth of the electricity generation sector in India. The main goal is to implement renewable energy projects in the country and the significant importance of revenues from sale of Verified Carbon Units (VCUs) to achieve this goal forms the basis of the implementation. It seeks to enable investment in large and small grid connected plants that export their generated output to the regional / national electricity grid in India",246250.00,Voluntary offsetting,Purchased,Gold Standard
5170,easyJet,7,,,,,,,,
5170,easyJet,8,,Wind,Carbon removal,"Located in central Anatolia,the Geycek wind farm was developped by EDF Energies Nouvelles’ Turkish subsidiary, Polat Enerji.",118022.00,Voluntary offsetting,Purchased,Gold Standard
5170,easyJet,9,,Forest ecosystem restoration,Carbon removal,"The project will comprise a total of 21,298 ha of land previously under extensive grazing by beef cattle, on which forest plantations for obtaining high-value, long-lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established.",370000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5170,easyJet,10,,Solar,Carbon removal,"Featuring over 2.5 million individual solar PV modules, and on 2,500 acres, the Kamuthi Solar Power Project supplies energy to ~300,000 homes. The Kamuthi Solar Power Project is a 648 MW solar photovoltaic (PV) farm in Tamil Nadu, India, in the town of Kamuthi, in the Ramanathapuram district.",400000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5170,easyJet,11,,Energy efficiency: supply side,Carbon removal,"Urbanisation in Turkey has led to growing environmental problems, including a lack of waste management services. This offset project captures waste-related methane and other greenhouse gases and turns these substances into clean energy.",92445.00,Voluntary offsetting,Purchased,Gold Standard
5170,easyJet,12,,Afforestation,Carbon removal,This project will dramatically reduce deforestation in the Peruvian Amazon and protect the habitat of endangered species and the livelihood of local indigenous communities who rely on the forest for their survival.,501000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5170,easyJet,13,,Community projects,Carbon removal,"The project is a combination of a series of sub-projects focused on recycling and rehabilitation, which ensures the disposal of solid wastes, rehabilitation of wild landfill areas, design and operation of sanitary landfill areas, treatment of hazardous and medical wastes, recycling of packaging wastes and the excavation of soils.",650000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5170,easyJet,14,,Reforestation,Carbon removal,"Rimba Raya is located in Central Kalimantan, Indonesian Borneo, and is one of the largest REDD+ peat swamp forest projects in the world, avoiding nearly 130 million tonnes of carbon emissions",738750.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5170,easyJet,15,,Solar,Carbon removal,"Providing flexible renewable energy at scale, accelerating the global energy transition and benefiting our planet, customers, communities, and people",673926.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5170,easyJet,16,,Energy efficiency: own generation,Carbon removal,"This project works in the Svilocell Pulp mill in Bulgaria, which produces bleach kraft pulp. This pulp is then used as a raw material for the production of various types of paper (e.g. tissue paper, writing paper, corrugated cardboard).",50000.00,Voluntary offsetting,Purchased,Gold Standard
5170,easyJet,17,,Community projects,Carbon removal,"The foundation of the TIST program is small community-based groups that support and encourage each other, sharing best-practice knowledge to help improve tree cultivation. There are 650 such groups of up to 12 members in Kenya, Uganda, Tanzania, and India. TIST trains group members to plant trees using sustainable techniques which help improve tree survival. As the trees grow, the sequestered carbon becomes a new cash crop for them to sell on the international market.",50000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5170,easyJet,18,,Wind,Carbon removal,The purpose of the project activity is to utilize renewable wind energy for generation of electricity,245058.00,Voluntary offsetting,Purchased,Gold Standard
5581,Enbridge Inc.,1,,"Other, please specify: Waste Heat Recovery",Emissions reduction,"NRGreen Chickadee Creek Waste Heat Recovery.Costs: $724,490.91 for 2022.",20505.00,Compliance with a carbon pricing system,Purchased,Alberta TIER Emission Offset system
5634,Eni SpA,1,,"Other, please specify: REDD+",Emissions reduction,"Ntakata Mountains REDD (VERRA ID 1897), description: https://registry.verra.org/app/projectDetail/VCS/1897",1500565.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5634,Eni SpA,2,,"Other, please specify: REDD+",Emissions reduction,"LOWER ZAMBEZI REDD+ PROJECT (VERRA ID 1202), description: https://registry.verra.org/app/projectDetail/VCS/1202",198562.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5634,Eni SpA,3,,"Other, please specify: REDD+",Emissions reduction,"Luangwa Community Forests Project (VERRA ID 1775), description: https://registry.verra.org/app/projectDetail/VCS/1775",1300873.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5634,Eni SpA,4,,"Other, please specify: REDD+",Emissions reduction,"Kulera Landscape REDD+ (VERRA ID 1168), description: https://registry.verra.org/app/projectDetail/VCS/1168",34225.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
5767,"EOG Resources, Inc.",0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
6332,Finnair,1,,Peatland protection and restoration,Carbon removal,Rimba Raya Biodiversity Reserve Project,1276.00,Voluntary offsetting,Issued,VCS (Verified Carbon Standard)
6332,Finnair,2,,Reforestation,Carbon removal,"The Delta Blue Carbon project is an Afforestation, Reforestation and Revegetation (ARR) and Restoring Wetland Ecosystems (RWE) project implemented in the Indus River Delta, in Pakistan.",142.00,Voluntary offsetting,Issued,VCS (Verified Carbon Standard)
6595,Ford Motor Company,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
6602,Formosa Petrochemical,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
6855,SUBARU CORPORATION,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
7164,General Motors Company,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
7581,Gol Linhas Aereas Inteligentes S.A.,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
8362,"Hino Motors, Ltd.",0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
8566,"Honda Motor Co., Ltd.",0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
8708,Hyundai Motor Co,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
8793,"Idemitsu Kosan Co., Ltd.",1,,Clean cookstove distribution,Emissions reduction,薪や古い調理コンロを燃焼効率の良い調理コンロに置き換えることで、GHG排出削減及び有害物質の発生を抑え身体への悪影響を軽減することを目的に、ケニアの貧しいコミュニティにクリーンな調理コンロを配布するPJ。GHG排出削減のみならず、SDGsの5.ジェンダー平等、7.エネルギーをみんなにそしてクリーンに、13.気候変動に具体的な対策を、15.陸の豊かさを守ろうに貢献。,909.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
9134,Inpex Corporation,0,,,,,,,,
9559,Isuzu Motors Limited,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
9703,Japan Airlines Corporation,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
9759,Jetblue Airways Corporation,1,,"Other, please specify: Forest Conservation",Emissions reduction,"We partnered with Carbonfund.org Foundation, a leading US based nonprofit climate solutions organization, to purchase third-party verified carbon offsets that support the Envira Amazonia Tropical Rainforest Conservation Project.To learn more, refer to the following link: https://registry.verra.org/app/projectDetail/VCS/1382",50000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
10076,Kia Motors Corp,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
10150,Kinder Morgan Inc.,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
10289,Korean Air Lines Co Ltd,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
11043,PJSC Lukoil,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
11267,Mahindra & Mahindra,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
11520,Mazda Motor Corporation,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
12263,Mitsubishi Motors Corporation,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
12343,MOL Nyrt.,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
13363,"Nissan Motor Co., Ltd.",0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
13649,Occidental Petroleum Corporation,1,,"Other, please specify: Wooden Building Elements",Carbon removal,"""Ekovilla offers carbon net-negative cellulose fibre insulation (CFI) made from renewable natural resources. One tonne of Ekovilla’s CFI removes 1,11 tonnes of CO2 eq. from the atmosphere into long-term storage in the product. The insulation is suitable for both new construction and renovation projects and it is used in 10,000 buildings annually. Once installed, CO2 is stored in durable building structures for a minimum of 50 years. It is industrial carbon removal to help corporations achieve their climate targets and take proactive steps towards carbon net zero.""",60.00,Voluntary offsetting,Purchased,"Other private carbon crediting program, please specify: puro.earth"
13649,Occidental Petroleum Corporation,2,,"Other, please specify: Wooden Building Elements",Carbon removal,"""Ekovilla offers carbon net-negative cellulose fibre insulation (CFI) made from renewable natural resources. One tonne of Ekovilla’s CFI removes 1,11 tonnes of CO2 eq. from the atmosphere into long-term storage in the product. The insulation is suitable for both new construction and renovation projects and it is used in 10,000 buildings annually. Once installed, CO2 is stored in durable building structures for a minimum of 50 years. It is industrial carbon removal to help corporations achieve their climate targets and take proactive steps towards carbon net zero.""",60.00,Voluntary offsetting,Purchased,"Other private carbon crediting program, please specify: puro.earth"
13649,Occidental Petroleum Corporation,3,,Biochar,Carbon removal,"""Pyrocal - Whitton Pyrocal has been operating since 2014 with a mission to develop a scalable, continuous system to accelerate carbon dioxide removal in pursuit of net negative emissions. Pyrocal's continuous carbonization technology (CCT) utilises both pyrolysis and gasification, and with a throughput of up to 750kg feedstock per hour, can produce 1,500 tonnes of biochar per annum. Based on the nutshell feedstock that has a high carbon content of +80%, this equates to 4,468 and 4,569 tons of CO2 removed and stored for pecan and macadamia shell respectively.""",60.00,Voluntary offsetting,Purchased,"Other private carbon crediting program, please specify: puro.earth"
13649,Occidental Petroleum Corporation,4,,Biochar,Carbon removal,"""Aperam BioEnergia is a brazilian player of the forest and renewable energy sector, that runs a ~420.000 ton/year charcoal operation with emissions control in the northeast region of Minas Gerais - Brazil, and holds ~126.000 ha of planted (FSC Certified) and native forest with important biodiversity and economical impact on local communities.""",60.00,Voluntary offsetting,Purchased,"Other private carbon crediting program, please specify: puro.earth"
13870,OMV AG,1,,Biomass energy,Emissions reduction,"Biogas, an inexpensive, easily available, and environmentally friendly alternative source of energy is being implemented in Kerala, India's southwestern state. here households, communities and institutions previously used firewood and got their electricity from the local grid, locally installed biogas plants now generate clean energy from organic waste. Food scraps such as vegetable peelings or organic wastewater ferment in the approximately 17,000 closed containers, thus avoiding methane and carbon dioxide emissions. Annually, the project saves a total of about 38,900 tonnes of CO2.",199.50,Voluntary offsetting,Purchased,Gold Standard
13870,OMV AG,2,,Solar,Emissions reduction,"The Qinghai Solar PV power generation project aims at the reduction of CO2 based on renewable energy supply and promotes renewable energies in northern China. The electricity generated by the project is supplied to Northwest China Power Grid (NWPG). The total expected GHG emission reductions amounts to 379,729 t of CO2-equivalents over the first crediting period by displacing power generation of those fossil fuel-fired power plants. Since energy from solar panels is created without burning fossil fuels, it is considered emission-free.",68629.96,Voluntary offsetting,Purchased,Gold Standard
13870,OMV AG,3,,Wind,Emissions reduction,"Two wind farms in the Indian state of Rajasthan generate electricity that replaces 115 GWh of fossil fuel energy per year. One is located near the village of Bhesada and has a total capacity of 39.9 MW with 19 generators. The other near the village of Dalot consists of 13 wind turbines with a capacity of 19.5 MW. The project thus supplies around 100,000 people in one of India's economically weakest regions with clean electricity. Clean wind energy can replace some of this fossil, high-emission energy and verifiably save CO2 emissions.",6030.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
13870,OMV AG,4,,Wind,Emissions reduction,"Two wind farms in the provinces of Hebei and Inner Mongolia are using the strong winds in the region to generate emission-free electricity. o ensure a climate-friendly power supply for the region, a wind farm was built south of Guyuan in Hebei Province in 2008. With 133 turbines of 1.5 MW each, an average of 405,685 MWh of electricity are generated per year, which have been fed into the power grid since 2010. The second wind farm is located in Inner Mongolia, near the city of Xinlinguole. With 25 turbines and a total capacity of 50 MW, it generates an average of 124,000 MWh of clean electricity per year.",57817.22,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
13870,OMV AG,5,,Hydro,Emissions reduction,"The project activity involves the construction of a hydroelectric power project at the main stream of Ren River near Bashan town of Chengkou County, Chongqing Municipality. The main objective of the project is to generate power from clean renewable hydro power and contribute to the sustainability of power generation of the Central China Grid, where coal-fired power generation is still the dominant power supply. The project's annual net annual power supply to the grid is 448,920 MWh. Since hydropower is created without burning fossil fuels, it is considered emission-free.",1772.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
13870,OMV AG,6,,Wind,Emissions reduction,"The Bandirma 3 wind energy project is located in the province of Balıkesir, near the densely populated Marmara area, Turkey. The wind farm consists of 10 Nordex N90 turbines with a total capacity of 25 MW. The turbine produces about 99 GWh of electricity per year, which is fed into the national grid. The carbon offset project contributes to increasing the share of renewable energies in Turkey and reducing dependence on fossil fuels and electricity imports. As energy is still mainly generated from fossil fuels in many areas around the world, clean wind energy can replace some of this fossil, high-emission energy and verifiably save CO2 emissions.",76.00,Voluntary offsetting,Purchased,Gold Standard
